
FLOW_OUT_5
observed    simulated
302.8080      357.8000    
444.4710      406.9000    
430.5840      395.7000    
423.5850      377.0000    
286.1140      389.4000    
228.8880      400.5000    
213.4720      410.4000    
202.5810      419.0000    
189.0590      426.2000    
190.7190      432.4000    
211.9960      438.1000    
293.9400      444.2000    
288.1670      459.1000    
341.1490      482.8000    
397.9120      472.2000    
371.0750      479.8000    
312.1870      487.5000    
261.0810      494.3000    
221.4350      500.5000    
203.5280      505.9000    
189.6700      510.5000    
188.7720      514.4000    
230.6960      520.2000    
319.8360      523.1000    
321.5930      527.5000    
275.2890      550.8000    
331.5280      536.4000    
423.5490      549.9000    
364.9800      553.0000    
267.5340      560.3000    
234.3960      566.4000    
214.3870      571.5000    
200.4640      575.4000    
230.2430      578.1000    
301.3690      581.8000    
287.8400      594.1000    
273.7050      585.8000    
319.0320      684.8000    
326.4190      594.4000    
236.4650      597.1000    
204.7360      598.9000    
185.4610      599.6000    
183.1220      599.3000    
174.7080      597.9000    
163.7320      595.4000    
160.2390      591.9000    
170.7650      587.7000    
255.0860      614.5000    
230.2550      585.2000    
297.8590      588.0000    
327.6610      588.5000    
353.3090      665.8000    
248.4380      587.3000    
195.0250      586.8000    
183.9840      585.0000    
173.4080      582.0000    
160.2680      577.8000    
160.1610      572.6000    
186.5100      566.7000    
296.3670      570.9000    
318.9590      601.7000    
303.7740      591.5000    
275.0610      598.0000    
313.9020      570.4000    
344.3270      569.0000    
276.2740      567.4000    
209.4890      564.5000    
184.9770      560.3000    
169.0360      555.2000    
200.9330      549.9000    
296.7640      544.1000    
283.4610      537.9000    
294.4290      532.4000    
239.2050      545.9000    
289.8290      520.7000    
305.0000      516.7000    
215.1030      513.2000    
187.8980      509.4000    
176.4060      505.2000    
168.4770      500.5000    
158.8940      495.5000    
165.5030      490.3000    
240.4640      489.0000    
284.5890      484.9000    
325.3480      507.8000    
323.3200      510.7000    
374.4690      628.6000    
366.1020      505.9000    
244.4260      509.6000    
201.8490      512.1000    
186.3680      513.5000    
175.6050      513.8000    
161.4370      513.2000    
198.6360      512.1000    
262.1540      526.4000    
341.5680      516.6000    
381.1750      519.8000    
314.5490      523.1000    
255.8320      525.4000    
222.8900      527.1000    
190.7320      528.3000    
183.7110      528.8000    
173.2730      528.6000    
166.0780      527.7000    
158.8250      526.1000    
155.5900      523.9000    
232.7330      554.6000    
319.9510      526.0000    
247.3480      599.2000    
324.7030      551.4000    
215.1950      533.4000    
262.8590      535.5000    
200.4010      537.4000    
171.0710      538.7000    
163.3240      539.3000    
155.7090      539.2000    
148.9760      538.3000    
156.8130      536.8000    
173.8800      535.0000    
263.6070      587.4000    
347.8660      543.6000    
219.0910      568.4000    
276.1660      552.6000    
287.9700      556.7000    
211.3510      560.2000    
173.8310      562.6000    
165.5030      563.5000    
158.4370      563.2000    
151.9360      561.6000    
145.5540      558.9000    
193.5590      556.2000    
253.2100      554.3000    
255.5040      552.6000    
263.0390      573.6000    
271.8490      557.4000    
282.9990      556.6000    
297.0040      553.5000    
208.3190      552.7000    
193.4040      551.0000    
184.6290      548.1000    
172.0930      544.4000    
162.7900      539.7000    
185.9710      534.6000    
208.4110      529.4000    
332.1100      722.3000    
442.1050      538.7000    
220.8700      555.1000    
176.4450      555.5000    
152.0290      560.9000    
149.5590      564.4000    
149.6000      566.1000    
169.1950      561.1000    
212.9160      556.5000    


FLOW_OUT_17
observed    simulated
233.0920      171.3000    
205.0850      184.0000    
188.9680      185.0000    
191.7210      194.2000    
139.9590      197.3000    
125.7310      200.1000    
115.2970      202.5000    
112.1300      204.8000    
106.4910      206.9000    
110.3380      209.0000    
141.5510      211.8000    
138.2360      215.2000    
199.1130      222.1000    
277.0700      255.2000    
286.2930      260.8000    
268.9880      268.4000    
173.0360      271.5000    
143.0990      274.2000    
132.3530      276.8000    
123.7900      279.5000    
114.9300      282.2000    
115.9700      285.3000    
135.2780      289.6000    
193.5870      296.4000    
177.6560      304.3000    
217.3240      329.1000    
255.6840      330.6000    
232.6100      335.9000    
194.5890      340.4000    
156.5510      343.9000    
132.6560      346.8000    
120.2580      349.3000    
111.4640      351.3000    
111.0850      352.8000    
139.6890      355.2000    
211.4280      357.8000    
206.5960      359.9000    
166.7560      374.1000    
209.5690      362.7000    
257.3640      366.7000    
230.5550      369.2000    
161.9110      369.6000    
142.1850      369.1000    
127.7900      367.8000    
117.7340      365.8000    
141.2470      363.4000    
192.4560      361.6000    
195.0800      361.0000    
184.3310      358.6000    
214.5790      376.9000    
218.8590      364.5000    
154.0140      359.9000    
131.3040      354.9000    
118.4610      349.6000    
116.3460      344.2000    
109.4390      338.5000    
100.9880      332.8000    
98.4190       327.0000    
104.8300      321.5000    
165.3010      322.2000    
141.7840      320.4000    
176.6680      316.5000    
212.8230      315.7000    
228.4050      333.0000    
151.3850      317.0000    
121.2600      311.8000    
113.4270      306.3000    
104.2810      300.4000    
97.0120       294.6000    
97.4770       288.7000    
111.5470      283.1000    
169.7010      281.6000    
178.3720      287.8000    
172.2580      299.4000    
154.6310      291.0000    
174.6340      291.1000    
198.5340      285.6000    
155.1740      280.3000    
126.6160      275.1000    
112.6800      270.2000    
103.7200      265.8000    
119.2540      262.7000    
167.9050      259.9000    
159.2450      257.7000    
178.1840      256.7000    
148.9360      264.8000    
176.7260      254.4000    
180.7600      254.9000    
135.0000      254.9000    
119.8200      255.0000    
112.5900      255.1000    
107.0660      255.3000    
98.5030       255.6000    
104.9910      255.9000    
150.4970      258.0000    
177.9010      263.2000    
195.7890      271.1000    
187.2670      291.2000    
230.7530      307.3000    
220.0150      314.1000    
159.7070      313.4000    
136.6190      311.7000    
125.3560      309.5000    
115.8660      306.9000    
104.0020      304.2000    
134.1670      301.7000    
177.4410      303.6000    
246.1810      309.2000    
245.5370      314.1000    
202.4130      316.0000    
164.6020      316.4000    
142.0680      316.1000    
123.0950      315.4000    
118.7070      314.3000    
111.4570      312.7000    
106.2510      310.8000    
100.0660      308.6000    
98.9760       306.2000    
161.5110      307.7000    
215.0870      313.6000    
170.0110      324.3000    
224.7480      339.8000    
145.7790      327.8000    
182.3970      327.6000    
131.5400      325.9000    
113.5510      323.1000    
108.2020      319.8000    
102.4250      316.0000    
97.8480       311.8000    
95.6800       307.5000    
104.2880      303.1000    
160.5940      303.9000    
213.9290      307.3000    
132.9730      313.2000    
171.1090      297.8000    
178.6990      293.3000    
121.4520      288.5000    
101.3100      283.7000    
96.6880       278.9000    
92.6830       274.1000    
88.6110       269.6000    
83.4620       265.2000    
115.3820      262.0000    
153.6110      260.0000    
130.5380      257.1000    
132.0020      264.3000    
142.4620      252.7000    
148.8520      250.9000    
157.4020      249.6000    
103.5220      245.8000    
97.3600       242.0000    
93.4800       238.1000    
87.8360       234.3000    
81.4110       230.6000    
92.8950       227.4000    
102.3240      224.8000    
197.0250      242.6000    
232.7580      261.9000    
116.0930      262.3000    
89.4010       260.6000    
76.8870       257.9000    
75.5620       255.0000    
76.7190       251.7000    
75.8280       248.3000    
74.0920       244.9000    
88.6460       241.5000    
96.7090       241.1000    
113.6660      242.0000    


FLOW_OUT_18
observed    simulated
255.4060      198.4000    
196.9900      213.6000    
183.8740      208.2000    
186.1220      208.9000    
138.4460      210.0000    
128.3640      211.5000    
120.5590      213.3000    
118.7080      215.3000    
119.8230      217.4000    
119.1090      219.4000    
150.3440      225.6000    
141.7890      228.7000    
213.2160      238.7000    
290.8190      246.2000    
296.6240      256.5000    
258.4800      266.4000    
169.1850      269.4000    
145.6090      273.2000    
136.7880      277.7000    
129.7250      282.9000    
122.7310      288.2000    
125.5930      295.9000    
146.1090      303.9000    
202.6620      329.2000    
185.2590      329.9000    
223.5290      394.4000    
265.3100      351.6000    
215.4980      354.0000    
193.6540      355.6000    
157.1420      356.6000    
137.3660      357.3000    
128.7720      357.6000    
122.1610      357.4000    
121.6830      356.7000    
156.0630      357.5000    
243.4320      360.8000    
196.4870      360.6000    
175.5940      371.6000    
226.3680      359.3000    
280.4440      373.9000    
212.6220      370.5000    
159.1400      365.3000    
146.0270      359.9000    
134.9640      354.2000    
127.7290      348.5000    
146.8570      342.8000    
181.8850      339.1000    
176.1640      334.3000    
166.5490      330.1000    
219.0060      340.7000    
185.7120      325.5000    
138.1840      320.2000    
119.1880      314.3000    
109.3420      308.4000    
108.6590      302.7000    
102.6950      297.2000    
96.3390       291.7000    
94.0940       286.1000    
101.4380      281.0000    
156.7330      285.4000    
130.7090      279.1000    
169.9000      276.6000    
212.1470      276.2000    
201.3980      276.8000    
130.5100      272.1000    
110.0970      266.3000    
105.2450      260.5000    
101.2740      254.9000    
94.6220       249.6000    
94.6630       244.3000    
115.1150      240.7000    
196.7790      243.2000    
190.9690      242.8000    
182.3050      248.2000    
156.5750      236.2000    
186.7860      233.6000    
202.2800      232.6000    
139.9480      230.5000    
114.5360      229.1000    
101.3280      228.6000    
91.6830       228.6000    
115.6120      229.0000    
179.1660      230.5000    
155.4920      233.3000    
171.8360      237.3000    
136.3370      248.7000    
179.9910      243.2000    
170.2150      246.8000    
121.6700      249.0000    
106.6200      250.8000    
101.5710      252.5000    
96.0760       253.9000    
88.4250       254.8000    
97.0310       255.2000    
149.9010      258.7000    
175.9390      261.7000    
219.9380      267.1000    
175.2210      279.5000    
248.3210      277.7000    
206.3060      279.1000    
151.8920      277.3000    
133.2360      275.3000    
121.9080      273.6000    
113.8360      271.9000    
103.0850      270.2000    
143.0790      269.6000    
211.5430      276.9000    
307.9660      339.1000    
237.5390      310.0000    
195.6710      307.5000    
162.3590      305.6000    
137.2120      304.1000    
121.6660      301.3000    
117.6160      298.6000    
110.2170      295.7000    
105.2400      292.7000    
99.4660       289.4000    
97.8730       285.7000    
182.7600      289.8000    
208.3270      299.5000    
178.9970      318.1000    
215.5180      327.8000    
144.4570      310.8000    
178.4130      307.5000    
123.7910      301.4000    
108.9340      295.5000    
102.8230      289.9000    
96.9140       284.4000    
92.0690       278.9000    
94.4750       273.3000    
106.0930      267.5000    
190.7520      263.0000    
209.4570      259.9000    
142.2090      265.3000    
185.0410      253.9000    
190.0970      253.0000    
119.9640      249.4000    
101.9050      245.8000    
97.1230       242.5000    
92.0610       239.5000    
86.9820       236.6000    
78.1900       233.8000    
129.6180      232.5000    
175.8990      232.0000    
137.9890      237.1000    
149.1600      226.0000    
153.0640      223.3000    
158.5220      220.4000    
105.7060      217.0000    
102.9460      213.8000    
98.1820       210.7000    
88.2540       207.5000    
82.0100       204.3000    
153.6110      202.7000    
212.3040      237.7000    
207.7970      228.6000    
118.0880      228.3000    
92.1440       224.9000    
79.2910       219.1000    
80.7770       216.6000    
79.7700       214.2000    
77.6580       211.8000    
93.0440       210.1000    
103.4840      209.0000    
117.9610      209.7000    


FLOW_OUT_21
observed    simulated
57.0210       38.0700     
50.1080       42.7300     
47.6530       43.5200     
45.5950       46.2400     
39.7900       47.7300     
37.3130       47.8800     
36.3320       47.0600     
36.0270       45.5200     
34.9250       43.5600     
35.0100       41.4400     
41.3050       40.2500     
39.6020       39.8500     
52.6710       39.7800     
66.6320       45.2200     
72.3920       64.1400     
55.8470       64.4200     
43.8160       66.6800     
41.1340       67.0800     
39.6770       66.1600     
38.2030       64.2400     
36.4400       61.6800     
37.1750       58.8300     
42.5630       58.2100     
49.6310       56.7400     
47.4870       54.6300     
50.3840       56.8800     
63.7860       64.5800     
45.5070       64.1200     
45.8490       90.2300     
40.4120       72.4700     
36.7310       71.7600     
34.2420       69.8700     
33.1420       67.2000     
31.9740       64.0900     
43.2270       61.3500     
57.8640       62.7300     
41.3060       65.0400     
45.8490       67.6100     
57.0780       71.4900     
69.1460       70.5200     
49.3580       71.1600     
42.3830       70.4500     
40.3930       68.6300     
37.0720       65.9600     
34.2860       62.7900     
41.3500       60.0700     
55.3940       60.8400     
49.1760       64.8600     
45.6250       64.1400     
61.0550       68.3300     
45.7200       70.1800     
41.0400       73.0900     
36.0840       73.8800     
33.2720       73.1700     
32.7100       71.3300     
31.3400       68.6500     
29.0730       65.4400     
28.3730       61.8800     
31.5820       58.3100     
41.2370       55.7200     
35.1810       53.1600     
46.0680       51.2100     
49.6760       51.1500     
49.5270       59.4700     
35.9030       52.5800     
32.0570       50.4900     
31.2400       47.9400     
29.7970       45.0800     
28.4050       42.2000     
27.1640       39.6500     
36.4360       38.4200     
49.1190       41.0400     
45.1940       44.8200     
43.1430       51.0800     
46.9210       72.6800     
46.9500       58.4300     
49.0000       60.2200     
40.3670       61.7600     
35.3840       61.3500     
32.2080       59.8500     
28.8450       57.6500     
38.4020       63.0600     
46.7090       64.6900     
47.6070       71.4700     
48.5990       66.5200     
40.9250       70.3600     
58.2820       91.0900     
