Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:46830000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
46830000;1;01/03/2016;;1;1;84,204;68,618;76,05;17;4;1;1;1;;0;70,91;70,45;69,532;68,618;68,618;70,91;71,372;73,227;74,161;76,041;76,513;76,987;78,413;79,368;80,809;82,743;84,204;83,716;81,774;78,413;76,041;74,63;75,57;79,368;78,89;77,461;76,513;76,987;76,987;75,099;73,227;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/02/2016;;1;1;219,636;71,834;105,171;1;29;1;1;1;;0;219,636;202,992;181,709;164,896;151,609;142,184;128,998;115,165;103,96;96,196;91,134;88,142;85,674;83,229;83,229;85,674;87,646;88,142;87,151;83,716;80,809;79,368;76,987;76,041;74,63;73,694;72,762;72,762;71,834;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
46830000;1;01/01/2016;;1;1;339,567;70,45;175,711;27;1;1;1;1;;0;70,45;74,161;75,099;76,513;77,461;79,368;81,291;79,368;99,794;108,715;114,081;119,534;134,107;143,936;151,609;158,81;167,352;172,301;177,298;201,68;239,516;244,667;247,909;273,78;286,756;295,075;339,567;338,83;304,195;271,079;242,73;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/12/2015;;1;1;85,674;64,557;70,953;1;21;1;1;1;;0;85,674;82,743;79,848;77,936;76,513;75,099;73,227;74,63;74,63;73,694;73,694;73,694;73,694;72,298;71,372;69,532;67,709;66,803;65,453;65,453;64,557;64,557;65,453;65,453;65,453;65,453;65,453;66,352;67,255;67,255;68,618;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/11/2015;;1;1;88,638;61,897;71,031;29;13;1;1;1;;0;67,709;68,163;69,075;69,532;69,991;68,618;66,803;65,004;64,111;63,666;62,779;62,779;61,897;61,897;61,897;61,897;62,338;65,453;69,075;70,91;72,762;76,041;76,987;78,89;80,809;83,229;84,204;87,646;88,638;88,142;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/10/2015;;1;1;67,255;58,408;61,518;31;1;1;1;1;;0;58,408;58,408;58,408;58,408;59,274;59,274;59,708;61,018;61,018;60,581;60,144;60,144;60,144;60,144;60,144;60,144;60,144;60,144;60,144;61,018;61,018;62,779;62,779;63,666;64,111;65,453;65,453;65,453;65,902;66,352;67,255;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/09/2015;;1;1;62,779;58,408;60,906;1;28;1;1;1;;0;62,779;62,779;62,779;61,897;61,897;61,897;61,897;61,897;61,897;61,897;61,897;61,897;61,018;61,018;61,018;61,018;61,018;61,018;61,018;60,144;60,144;60,144;60,144;60,144;60,144;59,274;59,274;58,408;58,408;58,408;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/08/2015;;1;1;65,453;63,666;63,954;1;8;1;1;1;;0;65,453;65,453;65,453;64,557;64,557;64,557;64,557;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;63,666;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/07/2015;;1;1;69,991;66,352;67,887;1;24;1;1;1;;0;69,991;69,075;69,075;69,075;69,075;69,075;69,075;69,075;68,163;68,163;68,163;68,163;68,163;68,163;68,163;68,163;68,163;68,163;68,163;68,163;68,163;67,255;66,803;66,352;66,352;66,352;66,352;66,352;66,352;66,352;66,352;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/06/2015;;1;1;74,63;69,075;71,92;1;25;1;1;1;;0;74,63;74,63;74,63;74,63;74,63;73,694;73,694;73,694;73,694;73,227;72,762;72,762;72,762;72,762;72,762;71,834;71,834;70,91;70,91;70,91;69,991;69,991;69,991;69,991;69,075;69,075;69,075;69,075;69,991;69,991;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
